sample_index,wall_time_iso,elapsed_s,ros_time_s,core,cpu_percent
11,2026-05-02T15:45:16.523,5.186,,cpu25,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu26,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu27,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu28,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu29,2.000
11,2026-05-02T15:45:16.523,5.186,,cpu30,0.000
11,2026-05-02T15:45:16.523,5.186,,cpu31,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu0,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu1,2.000
12,2026-05-02T15:45:17.027,5.691,,cpu2,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu3,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu4,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu5,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu6,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu7,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu8,7.843
12,2026-05-02T15:45:17.027,5.691,,cpu9,6.000
12,2026-05-02T15:45:17.027,5.691,,cpu10,7.843
12,2026-05-02T15:45:17.027,5.691,,cpu11,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu12,7.547
12,2026-05-02T15:45:17.027,5.691,,cpu13,2.000
12,2026-05-02T15:45:17.027,5.691,,cpu14,5.882
12,2026-05-02T15:45:17.027,5.691,,cpu15,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu16,2.000
12,2026-05-02T15:45:17.027,5.691,,cpu17,5.769
12,2026-05-02T15:45:17.027,5.691,,cpu18,1.961
12,2026-05-02T15:45:17.027,5.691,,cpu19,3.922
12,2026-05-02T15:45:17.027,5.691,,cpu20,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu21,4.000
12,2026-05-02T15:45:17.027,5.691,,cpu22,3.846
12,2026-05-02T15:45:17.027,5.691,,cpu23,1.961
12,2026-05-02T15:45:17.027,5.691,,cpu24,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu25,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu26,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu27,0.000
12,2026-05-02T15:45:17.027,5.691,,cpu28,3.846
12,2026-05-02T15:45:17.027,5.691,,cpu29,1.961
12,2026-05-02T15:45:17.027,5.691,,cpu30,1.961
12,2026-05-02T15:45:17.027,5.691,,cpu31,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu0,3.774
13,2026-05-02T15:45:17.544,6.207,,cpu1,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu2,1.923
13,2026-05-02T15:45:17.544,6.207,,cpu3,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu4,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu5,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu6,1.923
13,2026-05-02T15:45:17.544,6.207,,cpu7,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu8,1.961
13,2026-05-02T15:45:17.544,6.207,,cpu9,7.692
13,2026-05-02T15:45:17.544,6.207,,cpu10,3.922
13,2026-05-02T15:45:17.544,6.207,,cpu11,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu12,2.000
13,2026-05-02T15:45:17.544,6.207,,cpu13,3.846
13,2026-05-02T15:45:17.544,6.207,,cpu14,1.961
13,2026-05-02T15:45:17.544,6.207,,cpu15,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu16,1.923
13,2026-05-02T15:45:17.544,6.207,,cpu17,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu18,1.923
13,2026-05-02T15:45:17.544,6.207,,cpu19,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu20,3.774
13,2026-05-02T15:45:17.544,6.207,,cpu21,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu22,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu23,3.774
13,2026-05-02T15:45:17.544,6.207,,cpu24,1.923
13,2026-05-02T15:45:17.544,6.207,,cpu25,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu26,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu27,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu28,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu29,1.923
13,2026-05-02T15:45:17.544,6.207,,cpu30,0.000
13,2026-05-02T15:45:17.544,6.207,,cpu31,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu0,2.000
14,2026-05-02T15:45:18.058,6.721,,cpu1,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu2,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu3,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu4,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu5,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu6,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu7,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu8,5.882
14,2026-05-02T15:45:18.058,6.721,,cpu9,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu10,3.922
14,2026-05-02T15:45:18.058,6.721,,cpu11,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu12,3.922
14,2026-05-02T15:45:18.058,6.721,,cpu13,1.961
14,2026-05-02T15:45:18.058,6.721,,cpu14,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu15,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu16,1.961
14,2026-05-02T15:45:18.058,6.721,,cpu17,1.961
14,2026-05-02T15:45:18.058,6.721,,cpu18,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu19,1.923
14,2026-05-02T15:45:18.058,6.721,,cpu20,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu21,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu22,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu23,1.961
14,2026-05-02T15:45:18.058,6.721,,cpu24,1.923
14,2026-05-02T15:45:18.058,6.721,,cpu25,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu26,1.923
14,2026-05-02T15:45:18.058,6.721,,cpu27,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu28,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu29,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu30,0.000
14,2026-05-02T15:45:18.058,6.721,,cpu31,0.000
15,2026-05-02T15:45:18.572,7.235,,cpu0,3.922
15,2026-05-02T15:45:18.572,7.235,,cpu1,2.000
